birthday,gender,age,height,name,nation,sport,gold,silver,bronze,code,noc,org,dis,img_id
2004-11-11,Male,18,,A.ABDULLA MAHMOOD MOHAMED,Bahrain,Football,0,0,0,2030951,BRN,0002,FBL,2030951
1999-07-22,Male,24,1.7,A.HUSSEIN Mohammed,Qatar,Table Tennis,0,0,0,2008562,QAT,0033,TTE,2008562
1997-02-24,Male,26,1.7,AARON CHIA Teng Fong,Malaysia,Badminton,0,0,1,2011601,MAS,0023,BDM,2011601
2004-01-01,Male,19,,ABAKAR Ismail,Qatar,Athletics,0,1,0,2005515,QAT,0033,ATH,2005515
1999-03-30,Male,24,1.99,ABBAAS Hashem,Jordan,Basketball,0,1,0,2005607,JOR,0015,BKB,2005607
1996-05-17,Male,27,1.77,ABBAS Abbas Abubakar,Bahrain,Athletics,0,0,0,2004407,BRN,0002,ATH,2004407
1995-01-11,Male,28,1.7,ABBAS Ali,Kuwait,Fencing,0,0,0,2009743,KUW,0018,FEN,2009743
1999-01-28,Male,24,1.77,ABBAS Azhar,Pakistan,Swimming,0,0,0,2008873,PAK,0030,SWM,2008873
2000-05-19,Male,23,1.7,ABBAS Shajar,Pakistan,Athletics,0,0,0,2016580,PAK,0030,ATH,2016580
2004-07-06,Male,19,2.02,ABBASHER Mohammed,Qatar,3x3 Basketball,0,1,0,2017712,QAT,0033,BK3,2017712
2003-06-26,Male,20,1.8,ABBASI Homer,Islamic Republic of Iran,Swimming,0,0,0,2000866,IRI,0012,SWM,2000866
2003-11-15,Male,19,1.75,ABBOSKHONOV Azamatkhon,Uzbekistan,Hockey,0,0,0,2011802,UZB,0044,HOC,2011802
1999-11-17,Male,23,1.82,ABDALAZIZ Mohammed,Palestine,Esports,0,0,0,2002261,PLE,0031,ELS,2002261
1994-01-01,Male,29,1.9,ABDALLA Abdelrahman,Qatar,Handball,1,0,0,2007001,QAT,0033,HBL,2007001
1996-08-28,Male,27,1.79,ABDALLA Abubaker,Qatar,Athletics,0,0,0,2005530,QAT,0033,ATH,2005530
2005-08-01,Male,18,1.93,ABDAZOV Islambek,Uzbekistan,Fencing,0,0,0,2012430,UZB,0044,FEN,2012430
1997-07-10,Male,26,1.92,ABDELBASET Khaled,Qatar,Basketball,0,0,0,2017705,QAT,0033,BKB,2017705
1990-12-04,Male,32,1.9,ABDELGABAR Khalid Mohammed A,Saudi Arabia,Basketball,0,0,0,2005316,KSA,0034,BKB,2005316
2005-03-28,Male,18,1.82,ABDELSALAM Seifeldin,Qatar,Athletics,0,0,0,2005981,QAT,0033,ATH,2005981
1992-04-22,Male,31,1.87,ABDILLA Alnakran,Philippines,Beach Volleyball,0,0,0,2024034,PHI,0032,VBV,2024034
2021-12-29,Male,1,1.69,ABDIRAIMOV Kubanychbek,Kyrgyzstan,Esports,0,0,0,2009917,KGZ,0019,ELS,2009917
2002-12-25,Male,20,2.03,ABDOLI Samyar,Islamic Republic of Iran,Swimming,0,0,0,2005723,IRI,0012,SWM,2005723
2000-07-20,Male,23,1.87,ABDRAIMOV Temirlan,Kazakhstan,Modern Pentathlon,0,0,0,2021376,KAZ,0016,MPN,2021376
2004-03-17,Male,19,1.75,ABDRAKHIMOV Temirlan,Kyrgyzstan,Triathlon,0,0,0,2010874,KGZ,0019,TRI,2010874
1995-11-03,Male,27,1.83,ABDUJAWAD Aimn Waleed A,Saudi Arabia,Esports,0,0,0,2004991,KSA,0034,ELS,2004991
2003-07-29,Male,20,1.69,ABDUL AZIZ Muhammad Ridzuan,Malaysia,Dragon Boat,0,0,0,2008846,MAS,0023,DGB,2008846
2004-10-07,Male,19,,ABDUL HALI RADJIU,Indonesia,Sepaktakraw,0,0,0,2029395,INA,0011,SEW,2029395
2001-06-19,Male,22,1.84,ABDUL KAREEM Zaid,Jordan,Taekwondo,0,1,0,2001123,JOR,0015,TKW,2001123
1997-09-24,Male,26,1.63,ABDUL KHALIQ Bin Hamirin,Malaysia,Hockey,0,0,0,2008910,MAS,0023,HOC,2008910
1998-06-29,Female,25,1.55,ABDUL RAHMAN Farhana Najeeha Binti,Brunei Darussalam,Karate,0,0,1,2018317,BRU,0005,KTE,2018317
2000-06-25,Female,23,1.72,ABDUL RAHMAN Kiria Tikanah,Singapore,Fencing,0,0,0,2001074,SGP,0035,FEN,2001074
1983-03-22,Female,40,1.6,ABDUL RAHMAN Sharafiyya,Maldives,Shooting,0,0,0,2005969,MDV,0024,SHO,2005969
1999-06-13,Female,24,1.63,ABDUL RAZZAQ Aminath Nabeeha,Maldives,Badminton,0,0,0,2004654,MDV,0024,BDM,2004654
1999-06-13,Female,24,1.64,ABDUL RAZZAQ Fathimath Nabaaha,Maldives,Badminton,0,0,0,2004657,MDV,0024,BDM,2004657
1997-09-30,Male,26,1.8,ABDULAEV Karim,United Arab Emirates,Judo,0,0,0,2030554,UAE,0043,JUD,2030554
2002-05-14,Male,21,1.8,ABDULAZIZ Husain Abdulkarim Mubarak,Bahrain,Football,0,0,0,2004605,BRN,0002,FBL,2004605
2004-10-03,Male,19,1.7,ABDULHUSSEIN Abdullah,Qatar,Table Tennis,0,0,0,2008820,QAT,0033,TTE,2008820
1989-11-14,Male,33,,ABDULIN Bakhtiyar,Kazakhstan,Golf,0,0,0,2030842,KAZ,0016,GLF,2030842
2006-12-15,Male,16,1.76,ABDULKAREEM Mohammed,Kuwait,Fencing,0,0,0,2009746,KUW,0018,FEN,2009746
1992-11-18,Male,30,,ABDULKAREEM Mohammed,Kuwait,Wrestling,0,0,0,2015976,KUW,0018,WRE,2015976
1995-09-03,Male,28,,ABDULKAREEM Naser,Kuwait,Ju-jitsu,0,0,0,2006794,KUW,0018,JJI,2006794
1997-06-04,Male,26,1.83,ABDULKHAEV Sukhrob,Tajikistan,Wrestling,0,0,0,2020171,TJK,0039,WRE,2020171
2000-10-10,Male,22,1.83,ABDULKHAIROV Kanybek,Kyrgyzstan,Wrestling,0,0,0,2030318,KGZ,0019,WRE,2030318
2002-06-07,Male,21,1.78,ABDULLA Ahmed Abdulhameedahmed,Bahrain,Football,0,0,0,2004615,BRN,0002,FBL,2004615
2004-11-09,Male,18,1.66,ABDULLA Ahmed Najudhaan,Maldives,Athletics,0,0,0,2005652,MDV,0024,ATH,2005652
2004-04-12,Female,19,1.67,ABDULLA Balqees,United Arab Emirates,Ju-jitsu,0,1,0,2007631,UAE,0043,JJI,2007631
